% Model:              biconAndDipole_fullFeature.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 1 2022, 14:43
% Table:              Table 1 - Global Evaluation 1 (emw.Vport_1)
% freq (MHz)                                      abs(emw.Vport_1) (V)                              (emw.Vport_1) (V)
196                                               0.013318403752979973                              -0.005710698910036455+0.01203194898951535i
196.5                                             0.028201943613957996                              -0.007540831641747521+0.02717508936058326i
197                                               0.01286160448490464                               -0.0037774433112188932+0.012294380503166754i
197.5                                             0.013326098833546504                              -0.003040363678559279+0.012974632897448274i
198                                               0.012211306325727094                              -0.001903480632481319+0.012062038122245803i
198.5                                             0.009778250451642661                              -8.628350239998252E-4+0.009740107679918591i
199                                               0.006308913666175677                              -8.463846224767866E-4+0.006251881694185604i
199.5                                             0.019715914662219274                              -0.001443068384263902+0.019663032436688165i
200                                               0.017711142061279137                              -5.489630995865013E-5+0.01771105698454962i
200.5                                             0.013988963396300907                              0.0023363156025849284+0.013792488039079998i
201                                               0.01910942376075936                               0.0018776234583588864+0.019016955766286432i
201.5                                             0.02659049767885184                               0.00402061359039701+0.02628477188726849i
202                                               0.2758865577705907                                0.2701085078937708+0.05616748812174383i
202.5                                             0.012135178844880988                              0.0024739559800099446+0.011880324381355086i
203                                               0.20808154903331236                               0.20805602658667202+0.00325896441661959i
203.5                                             0.004812730913906306                              -7.507592913395295E-4-0.004753813136434456i
204                                               5.115689937302314E-4                              -2.676801843076484E-5-5.108681909606936E-4i
204.5                                             0.03576934661452407                               -0.01468919216940453-0.032614012182500166i
205                                               0.014058284608145543                              0.004881436785034221+0.013183586046191555i
205.5                                             0.011676710572381165                              0.0046135952180717645+0.010726616845722766i
206                                               0.011246370277515884                              0.00491794812323457+0.010114080812222447i
206.5                                             0.010934929618614081                              0.0052388016006768914+0.009598314620431482i
207                                               0.008519507850104933                              0.004448744891182173+0.007265719709786506i
207.5                                             0.016103346654444115                              0.0090475730262181+0.013321381152434876i
208                                               0.015329266277889064                              0.009013982869194512+0.012398972435338934i
208.5                                             0.017259790564067342                              0.011092848660477042+0.013223051043961856i
209                                               0.009687153583100839                              0.006303956346346765+0.007355343562739796i
209.5                                             0.027771706922222143                              0.02287065972620809+0.015754384439317343i
210                                               0.011790489962058202                              -0.006737971101763537-0.009675505101915593i
210.5                                             0.004793306381790149                              0.003144138517480069+0.0036180352475630195i
211                                               0.007494496071781329                              0.005683759409839297+0.004884910474206157i
211.5                                             0.008589416181807613                              0.007071007762327518+0.00487636335494008i
212                                               0.008691839029321096                              0.00756027486599043+0.004288392433337098i
212.5                                             0.005971622320215484                              0.0046765750434770575+0.0037134780190575143i
213                                               0.03135487656752996                               0.025396035514213787+0.018389390004179884i
213.5                                             0.013072516675017833                              0.012142565623126359+0.004842395306735013i
214                                               0.01256177870062504                               0.012126230318612615+0.003279149643343088i
214.5                                             0.01293779438344937                               0.01283718219150233+0.0016103654524950177i
215                                               0.015425717154924704                              0.015095511565984198-0.003174630735215613i
215.5                                             0.002923935104680542                              0.0028804663691987947+5.023046807445907E-4i
216                                               0.006086530783394437                              0.006083295225472943+1.9843431393333998E-4i
216.5                                             0.005115764761528564                              0.005068299302965004-6.952634542832416E-4i
217                                               0.003779979158835521                              0.0036103858787755283-0.0011195339421246446i
217.5                                             0.008606604744722414                              0.0062464441286969805-0.005920775369742159i
218                                               0.0030100294760507943                             -0.002305681216514191+0.001934970690865435i
218.5                                             0.01307562114188748                               -0.008504773296601348+0.009931802425521335i
219                                               0.027051696527943026                              -0.008056635867511533+0.025824114767756347i
219.5                                             0.02981133466985411                               0.00533696456189916+0.02932972014975728i
220                                               0.02714644379829855                               0.007008899962142506+0.02622603157580004i
220.5                                             0.0333627751639572                                0.02291232110585896+0.024250779537630728i
221                                               0.035217293789882045                              0.03233654216652124+0.013950119088941806i
221.5                                             0.027270530984015228                              0.026632460113642852+0.005864633700868033i
